t, x1_compfilter, x1_phiobs
12.200089, 0.727683, -0.000719
12.220090, 0.727803, -0.000650
12.240090, 0.727838, -0.000784
12.260091, 0.727630, -0.001066
12.280091, 0.727679, -0.001319
12.300092, 0.727592, -0.001314
12.320092, 0.727588, -0.001146
12.340093, 0.727606, -0.001167
12.360093, 0.727750, -0.001191
12.380094, 0.727559, -0.001207
12.400094, 0.727471, -0.001420
12.420094, 0.727418, -0.001401
12.440095, 0.727714, -0.001390
12.460095, 0.727685, -0.001199
12.480096, 0.727744, -0.001241
12.500096, 0.727762, -0.001269
12.520097, 0.727491, -0.001277
12.540097, 0.727596, -0.001116
12.560098, 0.727510, -0.001137
12.580098, 0.727596, -0.001180
12.600099, 0.727801, -0.001215
12.620099, 0.727995, -0.001058
12.640100, 0.727902, -0.001104
12.660100, 0.728116, -0.000783
12.680100, 0.728206, -0.000687
12.700101, 0.728079, -0.000812
12.720101, 0.727674, -0.000758
12.740102, 0.728000, -0.000886
12.760102, 0.728462, -0.000996
12.780103, 0.728612, -0.001072
12.800103, 0.728590, -0.000928
12.820104, 0.728656, -0.001014
12.840104, 0.729012, -0.001094
12.860105, 0.729196, -0.001142
12.880105, 0.729021, -0.001192
12.900105, 0.729190, -0.001235
12.920106, 0.729126, -0.001259
12.940106, 0.729111, -0.001080
12.960107, 0.728919, -0.000940
12.980107, 0.728539, -0.001022
13.000108, 0.728190, -0.000891
13.020108, 0.728023, -0.000981
13.040109, 0.728126, -0.001061
13.060109, 0.728301, -0.000953
13.080110, 0.728436, -0.001050
13.100110, 0.728432, -0.001311
13.120111, 0.728104, -0.001336
13.140111, 0.727881, -0.001350
13.160111, 0.728063, -0.001363
13.180112, 0.728131, -0.001370
13.200112, 0.728191, -0.001392
13.220113, 0.728243, -0.001383
13.240113, 0.728494, -0.001377
13.260114, 0.728630, -0.001397
13.280114, 0.728774, -0.001584
13.300115, 0.728668, -0.001735
13.320115, 0.728561, -0.001848
13.340116, 0.728274, -0.001766
13.360116, 0.727905, -0.001678
13.380116, 0.728031, -0.001623
13.400117, 0.728114, -0.001560
13.420117, 0.728206, -0.001521
13.440118, 0.728002, -0.001286
13.460118, 0.727762, -0.001292
13.480119, 0.727731, -0.001103
13.500119, 0.727510, -0.001133
13.520120, 0.727469, -0.001188
13.540120, 0.727486, -0.001218
13.560121, 0.727301, -0.001225
13.580121, 0.727196, -0.001225
13.600121, 0.727094, -0.001437
13.620122, 0.726885, -0.001381
13.640122, 0.726839, -0.001380
13.660123, 0.726985, -0.001388
13.680123, 0.727085, -0.001384
13.700124, 0.727257, -0.001373
13.720124, 0.727432, -0.001361
13.740125, 0.727671, -0.001534
13.760125, 0.727508, -0.001502
13.780126, 0.727369, -0.001642
13.800126, 0.727459, -0.001581
13.820127, 0.727326, -0.001351
13.840127, 0.727422, -0.001147
13.860127, 0.727489, -0.001379
13.880128, 0.727216, -0.001350
13.900128, 0.727475, -0.001327
13.920129, 0.727590, -0.001314
13.940129, 0.727544, -0.001502
13.960130, 0.727268, -0.001661
13.980130, 0.727416, -0.001024
14.000131, 0.727244, -0.000889
14.020131, 0.727255, -0.000975
14.040132, 0.727304, -0.001058
14.060132, 0.727403, -0.001308
14.080132, 0.727292, -0.001288
14.100133, 0.727563, -0.001283
14.120133, 0.727676, -0.001276
14.140134, 0.727592, -0.001453
14.160134, 0.727969, -0.001228
14.180135, 0.728050, -0.001255
14.200135, 0.728282, -0.001458
14.220136, 0.728385, -0.001429
14.240136, 0.728222, -0.001020
14.260137, 0.728017, -0.001062
14.280137, 0.727906, -0.001113
14.300138, 0.727762, -0.001150
14.320138, 0.727866, -0.001367
14.340138, 0.727738, -0.001561
14.360139, 0.727462, -0.001517
14.380139, 0.727386, -0.001476
14.400140, 0.727194, -0.001251
14.420140, 0.727477, -0.001068
14.440141, 0.727507, -0.001110
14.460141, 0.727545, -0.000973
14.480142, 0.727442, -0.000841
14.500142, 0.726928, -0.001138
14.520143, 0.726853, -0.001194
14.540143, 0.726909, -0.001230
14.560143, 0.726726, -0.001041
14.580144, 0.726684, -0.001112
14.600144, 0.726446, -0.000962
14.620145, 0.726423, -0.001041
14.640145, 0.726506, -0.001299
14.660146, 0.726377, -0.001117
14.680146, 0.726288, -0.000961
14.700147, 0.726362, -0.001212
14.720147, 0.726024, -0.001252
14.740148, 0.725956, -0.001078
14.760148, 0.726014, -0.001124
14.780149, 0.725806, -0.000956
14.800149, 0.725689, -0.001017
14.820149, 0.725636, -0.000877
14.840150, 0.725618, -0.000937
14.860150, 0.725411, -0.000995
14.880151, 0.725205, -0.000860
14.900151, 0.724818, -0.000953
14.920152, 0.724872, -0.001048
14.940152, 0.724721, -0.001104
14.960153, 0.724587, -0.000950
14.980153, 0.724587, -0.000837
15.000154, 0.724427, -0.000936
15.020154, 0.724226, -0.001026
15.040154, 0.724326, -0.001109
15.060155, 0.724381, -0.001135
15.080155, 0.724531, -0.001181
15.100156, 0.724216, -0.001219
15.120156, 0.723968, -0.001259
15.140157, 0.723897, -0.001279
15.160157, 0.723741, -0.001293
15.180158, 0.723505, -0.001121
15.200158, 0.723139, -0.000984
15.220159, 0.723327, -0.001062
15.240159, 0.723844, -0.000938
15.260159, 0.724154, -0.001229
15.280160, 0.723720, -0.001044
15.300160, 0.723899, -0.001066
15.320161, 0.723915, -0.001124
15.340161, 0.723821, -0.000770
15.360162, 0.723850, -0.000694
15.380162, 0.723736, -0.000621
15.400163, 0.723797, -0.000552
15.420163, 0.723895, -0.000714
15.440164, 0.723979, -0.000850
15.460164, 0.724167, 0.002886
15.480165, 0.724367, 0.002092
15.500165, 0.724542, 0.001047
15.520165, 0.724635, 0.000378
15.540166, 0.724757, -0.000008
15.560166, 0.724788, -0.000326
15.580167, 0.724983, -0.000359
15.600167, 0.725146, -0.000582
15.620168, 0.725064, -0.000752
15.640168, 0.725121, -0.000906
15.660169, 0.725099, -0.001023
15.680169, 0.725039, -0.001147
15.700170, 0.725118, -0.001033
15.720170, 0.725212, -0.001123
15.740170, 0.724980, -0.001180
15.760171, 0.724997, -0.001079
15.780171, 0.724926, -0.001196
15.800172, 0.725106, -0.001253
15.820172, 0.725088, -0.001514
15.840173, 0.725115, -0.001511
15.860173, 0.724972, -0.001524
15.880174, 0.724811, -0.001544
15.900174, 0.724782, -0.001535
15.920175, 0.724680, -0.001518
15.940175, 0.724688, -0.001349
15.960176, 0.724901, -0.001184
15.980176, 0.725167, -0.001248
16.000175, 0.725443, -0.001309
16.020176, 0.725483, -0.001348
16.040176, 0.725322, -0.001182
16.060177, 0.725650, -0.001222
16.080177, 0.725757, -0.001288
16.100178, 0.725856, -0.001325
16.120178, 0.726115, -0.001176
16.140179, 0.726255, -0.001230
16.160179, 0.726126, -0.001090
16.180180, 0.726478, -0.001152
16.200180, 0.726467, -0.000826
16.220181, 0.726569, -0.000946
16.240181, 0.726654, -0.001040
