t, phi2, phi3
15.680169, 0.001111, -0.006706
15.700170, 0.001320, -0.007058
15.720170, 0.001464, -0.007562
15.740170, 0.001505, -0.007541
15.760171, 0.001182, -0.006956
15.780171, 0.001108, -0.007164
15.800172, 0.001311, -0.008006
15.820172, 0.001589, -0.008729
15.840173, 0.001750, -0.008493
15.860173, 0.001211, -0.006637
15.880174, 0.001442, -0.006761
15.900174, 0.001428, -0.007044
15.920175, 0.001608, -0.008081
15.940175, 0.001586, -0.008226
15.960176, 0.001185, -0.007328
15.980176, 0.001137, -0.006989
16.000175, 0.001216, -0.007528
16.020176, 0.001844, -0.008945
16.040176, 0.001807, -0.008382
16.060177, 0.001748, -0.007891
16.080177, 0.001984, -0.007997
16.100178, 0.001931, -0.007763
16.120178, 0.002213, -0.008230
16.140179, 0.002602, -0.008760
16.160179, 0.002699, -0.008539
16.180180, 0.002112, -0.007412
16.200180, 0.002165, -0.007470
16.220181, 0.002189, -0.007601
16.240181, 0.002200, -0.007666
16.260181, 0.001960, -0.007022
16.280182, 0.001892, -0.006620
16.300182, 0.001618, -0.006281
16.320183, 0.001922, -0.007601
16.340183, 0.002078, -0.008463
16.360184, 0.001851, -0.008334
